concept_index,concept_name,layer_index,layer_name,cav_sensitivity,training_step
5,enemy_close_to_agent,3,dense,0.07999999999999996,40000
6,avocado_visible,3,dense,0.0,40000
7,agent_close_to_avocado,3,dense,0.235,40000
8,enemy_within_3_left,3,dense,0.015000000000000013,40000
9,enemy_within_3_right,3,dense,0.08750000000000002,40000
10,enemy_within_3_up,3,dense,0.2025,40000
11,enemy_within_3_down,3,dense,0.030000000000000027,40000
12,enemy_2_steps_left,3,dense,0.0,40000
13,enemy_2_steps_right,3,dense,0.14500000000000002,40000
14,enemy_2_steps_up,3,dense,0.28,40000
15,enemy_2_steps_down,3,dense,0.07999999999999996,40000
16,enemy_1_step_left,3,dense,0.30500000000000005,40000
17,enemy_1_step_right,3,dense,0.30000000000000004,40000
18,enemy_1_step_up,3,dense,0.3125,40000
19,enemy_1_step_down,3,dense,0.32499999999999996,40000
20,agent_against_left_wall,3,dense,0.04749999999999999,40000
21,agent_against_right_wall,3,dense,0.07499999999999996,40000
22,agent_against_upper_wall,3,dense,0.05249999999999999,40000
23,agent_against_bottom_wall,3,dense,0.07750000000000001,40000
0,avo_above_agent,4,dense_1,0.0,40000
1,avo_right_of_agent,4,dense_1,0.0,40000
2,avo_below_agent,4,dense_1,0.0,40000
3,avo_left_of_agent,4,dense_1,0.010000000000000009,40000
4,random_observation,4,dense_1,0.0,40000
5,enemy_close_to_agent,4,dense_1,0.07750000000000001,40000
6,avocado_visible,4,dense_1,0.0,40000
7,agent_close_to_avocado,4,dense_1,0.21999999999999997,40000
8,enemy_within_3_left,4,dense_1,0.0050000000000000044,40000
9,enemy_within_3_right,4,dense_1,0.0,40000
10,enemy_within_3_up,4,dense_1,0.0,40000
11,enemy_within_3_down,4,dense_1,0.020000000000000018,40000
12,enemy_2_steps_left,4,dense_1,0.012499999999999956,40000
13,enemy_2_steps_right,4,dense_1,0.04500000000000004,40000
14,enemy_2_steps_up,4,dense_1,0.022499999999999964,40000
15,enemy_2_steps_down,4,dense_1,0.020000000000000018,40000
16,enemy_1_step_left,4,dense_1,0.10750000000000004,40000
17,enemy_1_step_right,4,dense_1,0.09750000000000003,40000
18,enemy_1_step_up,4,dense_1,0.08750000000000002,40000
19,enemy_1_step_down,4,dense_1,0.26,40000
20,agent_against_left_wall,4,dense_1,0.0,40000
21,agent_against_right_wall,4,dense_1,0.0,40000
22,agent_against_upper_wall,4,dense_1,0.0,40000
23,agent_against_bottom_wall,4,dense_1,0.01749999999999996,40000
0,avo_above_agent,0,conv2d,0.015000000000000013,80000
1,avo_right_of_agent,0,conv2d,0.010000000000000009,80000
2,avo_below_agent,0,conv2d,0.0,80000
3,avo_left_of_agent,0,conv2d,0.030000000000000027,80000
4,random_observation,0,conv2d,0.0,80000
5,enemy_close_to_agent,0,conv2d,0.0,80000
6,avocado_visible,0,conv2d,0.0,80000
7,agent_close_to_avocado,0,conv2d,0.04249999999999998,80000
8,enemy_within_3_left,0,conv2d,0.0,80000
9,enemy_within_3_right,0,conv2d,0.0,80000
10,enemy_within_3_up,0,conv2d,0.012499999999999956,80000
11,enemy_within_3_down,0,conv2d,0.0,80000
12,enemy_2_steps_left,0,conv2d,0.050000000000000044,80000
13,enemy_2_steps_right,0,conv2d,0.0,80000
14,enemy_2_steps_up,0,conv2d,0.025000000000000022,80000
15,enemy_2_steps_down,0,conv2d,0.0,80000
16,enemy_1_step_left,0,conv2d,0.0024999999999999467,80000
17,enemy_1_step_right,0,conv2d,0.0,80000
18,enemy_1_step_up,0,conv2d,0.025000000000000022,80000
19,enemy_1_step_down,0,conv2d,0.03500000000000003,80000
20,agent_against_left_wall,0,conv2d,0.24,80000
21,agent_against_right_wall,0,conv2d,0.1925,80000
22,agent_against_upper_wall,0,conv2d,0.04749999999999999,80000
23,agent_against_bottom_wall,0,conv2d,0.09250000000000003,80000
0,avo_above_agent,1,conv2d_1,0.02749999999999997,80000
1,avo_right_of_agent,1,conv2d_1,0.05500000000000005,80000
2,avo_below_agent,1,conv2d_1,0.0625,80000
3,avo_left_of_agent,1,conv2d_1,0.04500000000000004,80000
4,random_observation,1,conv2d_1,0.0,80000
5,enemy_close_to_agent,1,conv2d_1,0.025000000000000022,80000
6,avocado_visible,1,conv2d_1,0.015000000000000013,80000
7,agent_close_to_avocado,1,conv2d_1,0.012499999999999956,80000
8,enemy_within_3_left,1,conv2d_1,0.0,80000
9,enemy_within_3_right,1,conv2d_1,0.04249999999999998,80000
10,enemy_within_3_up,1,conv2d_1,0.0,80000
11,enemy_within_3_down,1,conv2d_1,0.0,80000
12,enemy_2_steps_left,1,conv2d_1,0.030000000000000027,80000
13,enemy_2_steps_right,1,conv2d_1,0.030000000000000027,80000
14,enemy_2_steps_up,1,conv2d_1,0.07250000000000001,80000
15,enemy_2_steps_down,1,conv2d_1,0.0,80000
