concept_index,concept_name,layer_index,layer_name,cav_sensitivity,training_step
11,enemy_within_3_up,0,conv2d,0.0,700000
12,enemy_within_3_down,0,conv2d,0.0,700000
13,enemy_2_steps_left,0,conv2d,0.004999999999999893,700000
14,enemy_2_steps_right,0,conv2d,0.0,700000
15,enemy_2_steps_up,0,conv2d,0.0,700000
16,enemy_2_steps_down,0,conv2d,0.004999999999999893,700000
17,enemy_1_step_left,0,conv2d,0.0,700000
18,enemy_1_step_right,0,conv2d,0.0,700000
19,enemy_1_step_up,0,conv2d,0.0,700000
20,enemy_1_step_down,0,conv2d,0.004999999999999893,700000
21,agent_against_left_wall,0,conv2d,0.9299999999999999,700000
22,agent_against_right_wall,0,conv2d,0.9099999999999999,700000
23,agent_against_upper_wall,0,conv2d,0.925,700000
24,agent_against_bottom_wall,0,conv2d,0.8799999999999999,700000
0,avo_above_agent,1,conv2d_1,0.0,700000
1,avo_right_of_agent,1,conv2d_1,0.004999999999999893,700000
2,avo_below_agent,1,conv2d_1,0.004999999999999893,700000
3,avo_left_of_agent,1,conv2d_1,0.0,700000
4,random_observation,1,conv2d_1,0.004999999999999893,700000
5,enemy_close_to_agent,1,conv2d_1,0.004999999999999893,700000
6,avocado_visible,1,conv2d_1,0.0,700000
7,agent_close_to_avocado,1,conv2d_1,0.42999999999999994,700000
8,agent_next_to_wall,1,conv2d_1,0.1200000000000001,700000
9,enemy_within_3_left,1,conv2d_1,0.0,700000
10,enemy_within_3_right,1,conv2d_1,0.004999999999999893,700000
11,enemy_within_3_up,1,conv2d_1,0.0,700000
12,enemy_within_3_down,1,conv2d_1,0.0,700000
13,enemy_2_steps_left,1,conv2d_1,0.0,700000
14,enemy_2_steps_right,1,conv2d_1,0.0,700000
15,enemy_2_steps_up,1,conv2d_1,0.004999999999999893,700000
16,enemy_2_steps_down,1,conv2d_1,0.004999999999999893,700000
17,enemy_1_step_left,1,conv2d_1,0.0,700000
18,enemy_1_step_right,1,conv2d_1,0.0,700000
19,enemy_1_step_up,1,conv2d_1,0.004999999999999893,700000
20,enemy_1_step_down,1,conv2d_1,0.0,700000
21,agent_against_left_wall,1,conv2d_1,0.855,700000
22,agent_against_right_wall,1,conv2d_1,0.81,700000
23,agent_against_upper_wall,1,conv2d_1,0.835,700000
24,agent_against_bottom_wall,1,conv2d_1,0.835,700000
0,avo_above_agent,2,flatten,0.0,700000
1,avo_right_of_agent,2,flatten,0.004999999999999893,700000
2,avo_below_agent,2,flatten,0.004999999999999893,700000
3,avo_left_of_agent,2,flatten,0.0,700000
4,random_observation,2,flatten,0.004999999999999893,700000
5,enemy_close_to_agent,2,flatten,0.004999999999999893,700000
6,avocado_visible,2,flatten,0.0,700000
7,agent_close_to_avocado,2,flatten,0.42999999999999994,700000
8,agent_next_to_wall,2,flatten,0.1200000000000001,700000
9,enemy_within_3_left,2,flatten,0.0,700000
10,enemy_within_3_right,2,flatten,0.004999999999999893,700000
11,enemy_within_3_up,2,flatten,0.0,700000
12,enemy_within_3_down,2,flatten,0.0,700000
13,enemy_2_steps_left,2,flatten,0.0,700000
14,enemy_2_steps_right,2,flatten,0.0,700000
15,enemy_2_steps_up,2,flatten,0.004999999999999893,700000
16,enemy_2_steps_down,2,flatten,0.004999999999999893,700000
17,enemy_1_step_left,2,flatten,0.0,700000
18,enemy_1_step_right,2,flatten,0.0,700000
19,enemy_1_step_up,2,flatten,0.004999999999999893,700000
20,enemy_1_step_down,2,flatten,0.0,700000
21,agent_against_left_wall,2,flatten,0.855,700000
22,agent_against_right_wall,2,flatten,0.81,700000
23,agent_against_upper_wall,2,flatten,0.835,700000
24,agent_against_bottom_wall,2,flatten,0.835,700000
0,avo_above_agent,3,dense,0.5900000000000001,700000
1,avo_right_of_agent,3,dense,0.4850000000000001,700000
2,avo_below_agent,3,dense,0.5700000000000001,700000
3,avo_left_of_agent,3,dense,0.5800000000000001,700000
4,random_observation,3,dense,0.0,700000
5,enemy_close_to_agent,3,dense,0.5,700000
6,avocado_visible,3,dense,0.615,700000
7,agent_close_to_avocado,3,dense,0.565,700000
8,agent_next_to_wall,3,dense,0.32499999999999996,700000
9,enemy_within_3_left,3,dense,0.585,700000
10,enemy_within_3_right,3,dense,0.4850000000000001,700000
11,enemy_within_3_up,3,dense,0.5800000000000001,700000
12,enemy_within_3_down,3,dense,0.5149999999999999,700000
13,enemy_2_steps_left,3,dense,0.71,700000
14,enemy_2_steps_right,3,dense,0.56,700000
15,enemy_2_steps_up,3,dense,0.7549999999999999,700000
16,enemy_2_steps_down,3,dense,0.595,700000
17,enemy_1_step_left,3,dense,0.915,700000
18,enemy_1_step_right,3,dense,0.845,700000
19,enemy_1_step_up,3,dense,0.815,700000
20,enemy_1_step_down,3,dense,0.8,700000
21,agent_against_left_wall,3,dense,0.605,700000
22,agent_against_right_wall,3,dense,0.5249999999999999,700000
23,agent_against_upper_wall,3,dense,0.5249999999999999,700000
24,agent_against_bottom_wall,3,dense,0.585,700000
0,avo_above_agent,4,dense_1,0.5449999999999999,700000
1,avo_right_of_agent,4,dense_1,0.3799999999999999,700000
2,avo_below_agent,4,dense_1,0.585,700000
3,avo_left_of_agent,4,dense_1,0.49,700000
4,random_observation,4,dense_1,0.0,700000
5,enemy_close_to_agent,4,dense_1,0.21500000000000008,700000
6,avocado_visible,4,dense_1,0.5549999999999999,700000
7,agent_close_to_avocado,4,dense_1,0.5449999999999999,700000
8,agent_next_to_wall,4,dense_1,0.1200000000000001,700000
9,enemy_within_3_left,4,dense_1,0.345,700000
10,enemy_within_3_right,4,dense_1,0.30000000000000004,700000
11,enemy_within_3_up,4,dense_1,0.47,700000
12,enemy_within_3_down,4,dense_1,0.355,700000
13,enemy_2_steps_left,4,dense_1,0.6599999999999999,700000
14,enemy_2_steps_right,4,dense_1,0.3799999999999999,700000
15,enemy_2_steps_up,4,dense_1,0.72,700000
16,enemy_2_steps_down,4,dense_1,0.5,700000
17,enemy_1_step_left,4,dense_1,0.78,700000
18,enemy_1_step_right,4,dense_1,0.75,700000
19,enemy_1_step_up,4,dense_1,0.7849999999999999,700000
20,enemy_1_step_down,4,dense_1,0.675,700000
21,agent_against_left_wall,4,dense_1,0.16500000000000004,700000
22,agent_against_right_wall,4,dense_1,0.19999999999999996,700000
23,agent_against_upper_wall,4,dense_1,0.1499999999999999,700000
24,agent_against_bottom_wall,4,dense_1,0.09000000000000008,700000
0,avo_above_agent,0,conv2d,0.0,750000
1,avo_right_of_agent,0,conv2d,0.0,750000
